会場,日付,レース,着順,艇番,登番,選手名,status,モーター番号,ボート番号,展示タイム,進入コース,スタートタイミング,レースタイム,3連単_組合,3連単_配当,3連複_組合,3連複_配当,2連単_組合,2連単_配当,2連複_組合,2連複_配当
大村,2025/8/2,1,1,4,4679,植田太一,finish,26,70,6.90,4,0.22,1.51.2,4-2-1,8600,1-2-4,730,4-2,2240,2-4,2280
大村,2025/8/2,1,2,2,4094,中島真二,finish,29,22,6.97,2,0.19,1.51.9,4-2-1,8600,1-2-4,730,4-2,2240,2-4,2280
大村,2025/8/2,1,3,1,3661,柳瀬興志,finish,33,63,6.97,1,0.15,1.53.9,4-2-1,8600,1-2-4,730,4-2,2240,2-4,2280
大村,2025/8/2,1,4,5,3442,宮武英司,finish,40,66,6.95,5,0.18,1.54.3,4-2-1,8600,1-2-4,730,4-2,2240,2-4,2280
大村,2025/8/2,1,5,6,4064,原田篤志,finish,60,20,6.95,6,0.18,. .,4-2-1,8600,1-2-4,730,4-2,2240,2-4,2280
大村,2025/8/2,1,6,3,4248,岡本大,finish,28,55,7.00,3,0.18,. .,4-2-1,8600,1-2-4,730,4-2,2240,2-4,2280
大村,2025/8/2,2,1,3,3612,馬袋義則,finish,51,46,6.98,3,0.15,1.51.5,3-2-4,46180,2-3-4,8820,3-2,10860,2-3,3030
大村,2025/8/2,2,2,2,5067,山田真聖,finish,55,76,7.01,2,0.17,1.52.5,3-2-4,46180,2-3-4,8820,3-2,10860,2-3,3030
大村,2025/8/2,2,3,4,4142,平野和明,finish,71,64,7.00,4,0.13,1.53.7,3-2-4,46180,2-3-4,8820,3-2,10860,2-3,3030
大村,2025/8/2,2,4,5,4302,西野翔太,finish,25,59,6.89,5,0.09,1.54.0,3-2-4,46180,2-3-4,8820,3-2,10860,2-3,3030
大村,2025/8/2,2,5,1,4790,柳内敬太,finish,19,34,6.98,1,0.15,. .,3-2-4,46180,2-3-4,8820,3-2,10860,2-3,3030
大村,2025/8/2,2,6,6,4260,中越博紀,finish,21,51,6.97,6,0.13,. .,3-2-4,46180,2-3-4,8820,3-2,10860,2-3,3030
大村,2025/8/2,3,1,1,3556,田中信一郎,finish,64,58,6.94,1,0.11,1.50.2,1-6-4,1040,1-4-6,520,1-6,270,1-6,280
大村,2025/8/2,3,2,6,3623,深川真二,finish,44,41,6.96,2,0.17,1.51.7,1-6-4,1040,1-4-6,520,1-6,270,1-6,280
大村,2025/8/2,3,3,4,4574,東潤樹,finish,36,50,6.95,5,0.22,1.54.1,1-6-4,1040,1-4-6,520,1-6,270,1-6,280
大村,2025/8/2,3,4,2,4336,松田竜馬,finish,72,56,7.02,3,0.15,1.54.5,1-6-4,1040,1-4-6,520,1-6,270,1-6,280
大村,2025/8/2,3,5,3,4651,佐藤大騎,finish,50,57,6.99,4,0.16,. .,1-6-4,1040,1-4-6,520,1-6,270,1-6,280
大村,2025/8/2,3,6,5,4747,山戸信二,finish,34,39,6.97,6,0.19,. .,1-6-4,1040,1-4-6,520,1-6,270,1-6,280
大村,2025/8/2,4,1,3,3551,藤田美代,finish,23,74,6.96,3,0.22,1.50.2,3-1-5,7430,1-3-5,830,3-1,3160,1-3,390
大村,2025/8/2,4,2,1,5250,嶋田有里,finish,57,43,6.98,1,0.17,1.51.7,3-1-5,7430,1-3-5,830,3-1,3160,1-3,390
大村,2025/8/2,4,3,5,4984,森下愛梨,finish,56,40,6.99,5,0.15,1.53.7,3-1-5,7430,1-3-5,830,3-1,3160,1-3,390
大村,2025/8/2,4,4,2,5296,永田楽,finish,24,61,6.91,2,0.21,1.54.8,3-1-5,7430,1-3-5,830,3-1,3160,1-3,390
大村,2025/8/2,4,5,6,3470,新田芳美,finish,43,69,6.99,6,0.14,. .,3-1-5,7430,1-3-5,830,3-1,3160,1-3,390
大村,2025/8/2,4,6,4,3579,中里優子,finish,76,26,6.97,4,0.18,. .,3-1-5,7430,1-3-5,830,3-1,3160,1-3,390
大村,2025/8/2,5,1,4,4045,佐々木裕美,finish,20,78,6.95,3,0.18,1.50.8,4-1-5,660,1-4-5,140,4-1,440,1-4,210
大村,2025/8/2,5,2,1,4878,西岡育未,finish,67,13,7.01,1,0.07,1.52.5,4-1-5,660,1-4-5,140,4-1,440,1-4,210
大村,2025/8/2,5,3,5,4720,西澤日花里,finish,46,49,6.96,4,0.19,1.52.6,4-1-5,660,1-4-5,140,4-1,440,1-4,210
大村,2025/8/2,5,4,2,5164,森田梨湖,finish,27,35,7.02,2,0.27,1.55.7,4-1-5,660,1-4-5,140,4-1,440,1-4,210
大村,2025/8/2,5,5,6,5362,中嶋世奈,finish,62,45,6.98,5,0.23,. .,4-1-5,660,1-4-5,140,4-1,440,1-4,210
大村,2025/8/2,5,,3,4874,池田奈津美,K0,,,,,,,,,,,,,,
大村,2025/8/2,6,1,1,4011,堀之内紀代子,finish,17,53,6.92,1,0.02,1.50.1,1-2-4,1110,1-2-4,550,1-2,370,1-2,320
大村,2025/8/2,6,2,2,4893,渡邉真奈美,finish,37,14,6.99,2,0.22,1.52.8,1-2-4,1110,1-2-4,550,1-2,370,1-2,320
大村,2025/8/2,6,3,4,4680,後藤美翼,finish,18,77,6.99,4,0.11,1.52.9,1-2-4,1110,1-2-4,550,1-2,370,1-2,320
大村,2025/8/2,6,4,5,4900,中田夕貴,finish,30,38,6.91,5,0.11,1.54.0,1-2-4,1110,1-2-4,550,1-2,370,1-2,320
大村,2025/8/2,6,5,3,5113,黒明花夢,finish,32,72,7.01,3,0.17,. .,1-2-4,1110,1-2-4,550,1-2,370,1-2,320
大村,2025/8/2,6,6,6,4408,仁科さやか,finish,38,47,6.95,6,0.11,. .,1-2-4,1110,1-2-4,550,1-2,370,1-2,320
大村,2025/8/2,7,1,1,4303,牧原崇,finish,22,52,6.96,1,0.14,1.50.8,1-3-2,410,1-2-3,200,1-3,210,1-3,150
大村,2025/8/2,7,2,3,4890,石川諒,finish,61,44,6.99,3,0.16,1.52.6,1-3-2,410,1-2-3,200,1-3,210,1-3,150
大村,2025/8/2,7,3,2,3614,谷勝幸,finish,35,37,6.98,2,0.15,1.53.4,1-3-2,410,1-2-3,200,1-3,210,1-3,150
