会場,日付,レース,着順,艇番,登番,選手名,status,モーター番号,ボート番号,展示タイム,進入コース,スタートタイミング,レースタイム,決まり手,3連単_組合,3連単_配当,3連複_組合,3連複_配当,2連単_組合,2連単_配当,2連複_組合,2連複_配当
大村,2026/3/31,1,1,1,5086,本村大,finish,65,50,6.75,1,0.28,2.00.1,逃げ,1-4-3,1530,1-3-4,280,1-4,740,1-4,690
大村,2026/3/31,1,2,4,4164,岩永節也,finish,15,70,6.78,4,0.20,2.03.0,逃げ,1-4-3,1530,1-3-4,280,1-4,740,1-4,690
大村,2026/3/31,1,3,3,3621,天野晶夫,finish,46,74,6.81,3,0.18,2.04.2,逃げ,1-4-3,1530,1-3-4,280,1-4,740,1-4,690
大村,2026/3/31,1,4,6,4782,浜崎準也,finish,27,51,6.81,6,0.19,2.07.6,逃げ,1-4-3,1530,1-3-4,280,1-4,740,1-4,690
大村,2026/3/31,1,5,5,5409,宮本琉正,finish,50,61,6.87,5,0.15,. .,逃げ,1-4-3,1530,1-3-4,280,1-4,740,1-4,690
大村,2026/3/31,1,,2,5376,吉田一心,S1,,,,,,,,,,,,,,,
大村,2026/3/31,2,1,6,3848,川上聡介,finish,20,17,6.83,5,0.11,1.50.3,抜き,6-2-5,35730,2-5-6,20240,6-2,1970,2-6,800
大村,2026/3/31,2,2,2,5310,土屋蘭,finish,58,78,6.80,2,0.18,1.51.2,抜き,6-2-5,35730,2-5-6,20240,6-2,1970,2-6,800
大村,2026/3/31,2,3,5,5438,星田夢結,finish,14,15,6.86,6,0.14,1.54.0,抜き,6-2-5,35730,2-5-6,20240,6-2,1970,2-6,800
大村,2026/3/31,2,4,1,4103,山崎善庸,finish,36,72,6.89,1,0.19,1.54.8,抜き,6-2-5,35730,2-5-6,20240,6-2,1970,2-6,800
大村,2026/3/31,2,5,3,5049,松井友汰,finish,69,45,6.87,3,0.18,. .,抜き,6-2-5,35730,2-5-6,20240,6-2,1970,2-6,800
大村,2026/3/31,2,6,4,2538,高橋二朗,finish,18,23,6.85,4,0.19,. .,抜き,6-2-5,35730,2-5-6,20240,6-2,1970,2-6,800
大村,2026/3/31,3,1,4,5092,篠原晟弥,finish,29,12,6.74,4,0.11,1.49.3,差し,4-3-6,6870,3-4-6,2130,4-3,1770,3-4,1310
大村,2026/3/31,3,2,3,3860,松本浩貴,finish,48,47,6.78,3,0.08,1.52.0,差し,4-3-6,6870,3-4-6,2130,4-3,1770,3-4,1310
