会場,日付,レース,着順,艇番,登番,選手名,status,モーター番号,ボート番号,展示タイム,進入コース,スタートタイミング,レースタイム,決まり手,距離,天候,風向,風速,波高,3連単_組合,3連単_配当,3連複_組合,3連複_配当,2連単_組合,2連単_配当,2連複_組合,2連複_配当
大村,2026/7/9,1,1,1,4873,蒲原健太,finish,26,59,6.94,1,0.16,1.51.6,逃げ,1800,晴,南西,1,1,1-3-4,1080,1-3-4,540,1-3,290,1-3,320
大村,2026/7/9,1,2,3,3973,崎利仁,finish,55,44,6.95,3,0.18,1.53.7,逃げ,1800,晴,南西,1,1,1-3-4,1080,1-3-4,540,1-3,290,1-3,320
大村,2026/7/9,1,3,4,3617,竹田広樹,finish,65,71,6.90,4,0.20,1.54.8,逃げ,1800,晴,南西,1,1,1-3-4,1080,1-3-4,540,1-3,290,1-3,320
大村,2026/7/9,1,4,2,4213,重富伸也,finish,18,61,6.99,2,0.13,1.56.1,逃げ,1800,晴,南西,1,1,1-3-4,1080,1-3-4,540,1-3,290,1-3,320
大村,2026/7/9,1,5,6,3761,山本光雄,finish,50,30,7.04,6,0.17,. .,逃げ,1800,晴,南西,1,1,1-3-4,1080,1-3-4,540,1-3,290,1-3,320
大村,2026/7/9,1,6,5,3357,福島陽子,finish,73,78,6.93,5,0.22,. .,逃げ,1800,晴,南西,1,1,1-3-4,1080,1-3-4,540,1-3,290,1-3,320
大村,2026/7/9,2,1,1,5011,高木圭大,finish,47,69,6.92,1,0.12,1.52.3,逃げ,1800,晴,西,1,1,1-2-3,700,1-2-3,280,1-2,240,1-2,200
大村,2026/7/9,2,2,2,4119,泥谷一毅,finish,60,79,6.91,2,0.15,1.53.6,逃げ,1800,晴,西,1,1,1-2-3,700,1-2-3,280,1-2,240,1-2,200
大村,2026/7/9,2,3,3,4020,川上清人,finish,81,70,6.98,3,0.14,1.54.9,逃げ,1800,晴,西,1,1,1-2-3,700,1-2-3,280,1-2,240,1-2,200
大村,2026/7/9,2,4,5,3207,田村美和,finish,51,31,7.03,5,0.18,1.56.0,逃げ,1800,晴,西,1,1,1-2-3,700,1-2-3,280,1-2,240,1-2,200
大村,2026/7/9,2,5,4,4552,杉山勝匡,finish,74,52,6.99,4,0.19,. .,逃げ,1800,晴,西,1,1,1-2-3,700,1-2-3,280,1-2,240,1-2,200
大村,2026/7/9,2,6,6,5227,川原愛未,finish,27,39,6.95,6,0.20,. .,逃げ,1800,晴,西,1,1,1-2-3,700,1-2-3,280,1-2,240,1-2,200
大村,2026/7/9,3,1,2,4729,佐藤謙史朗,finish,43,80,6.93,2,0.18,1.51.8,差し,1800,晴,南西,1,1,2-1-3,9060,1-2-3,360,2-1,2860,1-2,480
大村,2026/7/9,3,2,1,4750,井上尚悟,finish,58,85,6.90,1,0.09,1.52.0,差し,1800,晴,南西,1,1,2-1-3,9060,1-2-3,360,2-1,2860,1-2,480
大村,2026/7/9,3,3,3,4592,小林孝弘,finish,68,29,6.94,3,0.15,1.54.0,差し,1800,晴,南西,1,1,2-1-3,9060,1-2-3,360,2-1,2860,1-2,480
大村,2026/7/9,3,4,4,3566,川添英正,finish,16,60,6.94,4,0.26,1.55.7,差し,1800,晴,南西,1,1,2-1-3,9060,1-2-3,360,2-1,2860,1-2,480
大村,2026/7/9,3,5,6,4875,大塚康雅,finish,37,83,6.92,6,0.20,. .,差し,1800,晴,南西,1,1,2-1-3,9060,1-2-3,360,2-1,2860,1-2,480
大村,2026/7/9,3,6,5,3850,小川知行,finish,75,72,6.91,5,0.23,. .,差し,1800,晴,南西,1,1,2-1-3,9060,1-2-3,360,2-1,2860,1-2,480
大村,2026/7/9,4,1,1,3975,小野寺智洋,finish,46,21,6.94,1,0.09,1.51.9,逃げ,1800,晴,南,1,1,1-2-5,460,1-2-5,170,1-2,240,1-2,130
大村,2026/7/9,4,2,2,3997,北村征嗣,finish,77,45,6.94,2,0.13,1.52.6,逃げ,1800,晴,南,1,1,1-2-5,460,1-2-5,170,1-2,240,1-2,130
大村,2026/7/9,4,3,5,4931,木谷賢太,finish,14,66,6.98,5,0.14,1.54.4,逃げ,1800,晴,南,1,1,1-2-5,460,1-2-5,170,1-2,240,1-2,130
