race_id,bet_type,combo,odds,fetched_at
012026062906,2t,1-2,1.6,2026-06-29 08:44:09
012026062906,2t,1-3,2.0,2026-06-29 08:44:09
012026062906,2t,1-4,0.0,2026-06-29 08:44:09
012026062906,2t,1-5,0.0,2026-06-29 08:44:09
012026062906,2t,1-6,0.0,2026-06-29 08:44:09
012026062906,2t,2-1,8.2,2026-06-29 08:44:09
012026062906,2t,2-3,0.0,2026-06-29 08:44:09
012026062906,2t,2-4,0.0,2026-06-29 08:44:09
012026062906,2t,2-5,0.0,2026-06-29 08:44:09
012026062906,2t,2-6,0.0,2026-06-29 08:44:09
012026062906,2t,3-1,0.0,2026-06-29 08:44:09
012026062906,2t,3-2,0.0,2026-06-29 08:44:09
012026062906,2t,3-4,0.0,2026-06-29 08:44:09
012026062906,2t,3-5,0.0,2026-06-29 08:44:09
012026062906,2t,3-6,0.0,2026-06-29 08:44:09
012026062906,2t,4-1,0.0,2026-06-29 08:44:09
012026062906,2t,4-2,0.0,2026-06-29 08:44:09
012026062906,2t,4-3,0.0,2026-06-29 08:44:09
012026062906,2t,4-5,0.0,2026-06-29 08:44:09
012026062906,2t,4-6,0.0,2026-06-29 08:44:09
012026062906,2t,5-1,0.0,2026-06-29 08:44:09
012026062906,2t,5-2,0.0,2026-06-29 08:44:09
012026062906,2t,5-3,0.0,2026-06-29 08:44:09
012026062906,2t,5-4,0.0,2026-06-29 08:44:09
012026062906,2t,5-6,0.0,2026-06-29 08:44:09
012026062906,2t,6-1,0.0,2026-06-29 08:44:09
012026062906,2t,6-2,8.2,2026-06-29 08:44:09
012026062906,2t,6-3,0.0,2026-06-29 08:44:09
012026062906,2t,6-4,0.0,2026-06-29 08:44:09
012026062906,2t,6-5,0.0,2026-06-29 08:44:09
012026062906,3t,1-2-3,19.9,2026-06-29 08:44:09
012026062906,3t,1-2-4,7.1,2026-06-29 08:44:09
012026062906,3t,1-2-5,44.8,2026-06-29 08:44:09
012026062906,3t,1-2-6,25.6,2026-06-29 08:44:09
012026062906,3t,1-3-2,39.8,2026-06-29 08:44:09
012026062906,3t,1-3-4,27.5,2026-06-29 08:44:09
012026062906,3t,1-3-5,51.2,2026-06-29 08:44:09
012026062906,3t,1-3-6,358.5,2026-06-29 08:44:09
012026062906,3t,1-4-2,23.9,2026-06-29 08:44:09
012026062906,3t,1-4-3,119.5,2026-06-29 08:44:09
012026062906,3t,1-4-5,71.7,2026-06-29 08:44:09
012026062906,3t,1-4-6,71.7,2026-06-29 08:44:09
012026062906,3t,1-5-2,179.2,2026-06-29 08:44:09
012026062906,3t,1-5-3,179.2,2026-06-29 08:44:09
012026062906,3t,1-5-4,29.8,2026-06-29 08:44:09
012026062906,3t,1-5-6,0.0,2026-06-29 08:44:09
012026062906,3t,1-6-2,29.8,2026-06-29 08:44:09
012026062906,3t,1-6-3,119.5,2026-06-29 08:44:09
012026062906,3t,1-6-4,22.4,2026-06-29 08:44:09
012026062906,3t,1-6-5,179.2,2026-06-29 08:44:09
012026062906,3t,2-1-3,358.5,2026-06-29 08:44:09
012026062906,3t,2-1-4,25.6,2026-06-29 08:44:09
012026062906,3t,2-1-5,179.2,2026-06-29 08:44:09
012026062906,3t,2-1-6,89.6,2026-06-29 08:44:09
012026062906,3t,2-3-1,0.0,2026-06-29 08:44:09
012026062906,3t,2-3-4,0.0,2026-06-29 08:44:09
012026062906,3t,2-3-5,71.7,2026-06-29 08:44:09
012026062906,3t,2-3-6,0.0,2026-06-29 08:44:09
012026062906,3t,2-4-1,35.8,2026-06-29 08:44:09
012026062906,3t,2-4-3,358.5,2026-06-29 08:44:09
