日付,会場,レース,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,モーター番号,モーター2率,ボート番号,ボート2率,今節成績ほか
2026-07-18,芦屋,1,1,4156,浜野孝志,45,三重,58,A2,5.16,26.74,6.33,50.00,21,40.68,69,23.08,345 2111    12
2026-07-18,芦屋,1,2,4904,松本一毅,31,大阪,52,B1,5.26,33.62,5.07,27.59,26,18.52,22,37.04,213 566      6
2026-07-18,芦屋,1,3,4555,富永大一,36,福岡,55,B1,5.12,31.58,5.07,34.48,40,18.33,26,36.51,132 425     10
2026-07-18,芦屋,1,4,4954,内山峻輔,31,東京,54,B1,4.29,20.55,0.00,0.00,19,22.64,51,34.55,2 15662      7
2026-07-18,芦屋,1,5,4349,犬童千秋,40,福岡,50,B1,4.54,25.29,4.43,25.71,48,38.89,64,36.07,4 26245      9
2026-07-18,芦屋,1,6,3990,芹澤克彦,47,静岡,52,B1,4.92,27.27,0.00,0.00,51,42.86,41,30.16,3 453 25
2026-07-18,芦屋,2,1,4033,伊藤将吉,47,静岡,54,A2,5.98,47.62,7.25,55.00,42,24.59,43,36.92,31315 12    11
2026-07-18,芦屋,2,2,5344,谷口丞,23,滋賀,53,B1,5.05,29.55,2.13,0.00,2,33.96,20,30.00,124 243      7
2026-07-18,芦屋,2,3,3551,藤田美代,54,福岡,45,B1,3.33,14.29,3.80,12.96,10,38.10,18,26.98,544 316      7
2026-07-18,芦屋,2,4,3556,田中信一,53,大阪,55,A1,6.88,50.91,6.59,45.95,55,43.48,66,33.33,4122131     12
2026-07-18,芦屋,2,5,3645,淺田千亜,53,徳島,46,B2,5.18,38.64,5.58,47.37,49,18.87,57,36.36,1 56456      9
2026-07-18,芦屋,2,6,4034,西原明生,47,香川,55,B1,3.68,15.48,4.04,17.39,41,46.15,23,25.42,2 45564
2026-07-18,芦屋,3,1,4413,水摩敦,40,福岡,51,A2,5.89,37.19,5.50,40.00,14,18.37,39,33.33,12431 44    11
2026-07-18,芦屋,3,2,4727,安部慎一,38,福岡,54,B1,3.82,13.43,4.55,27.50,6,24.56,40,31.03,5 314 53     8
2026-07-18,芦屋,3,3,4702,三浦敬太,39,東京,52,A1,6.19,47.14,7.47,61.11,43,50.00,15,30.00,222 3555     8
2026-07-18,芦屋,3,4,3828,明石正之,52,兵庫,52,B1,5.43,33.33,5.40,33.33,11,43.75,21,31.15,553 113     10
2026-07-18,芦屋,3,5,3833,中辻博訓,51,福井,55,A2,6.22,46.15,4.43,14.29,44,29.51,13,39.68,14442 45
2026-07-18,芦屋,3,6,3955,眞田英二,49,徳島,51,B2,4.98,29.21,4.36,22.73,13,52.31,35,40.35,624 255
2026-07-18,芦屋,4,1,3942,寺田祥,47,山口,54,A1,7.02,55.91,7.96,61.54,7,34.85,55,39.68,3536121     12
2026-07-18,芦屋,4,2,3663,木山和幸,56,広島,51,B1,5.41,36.84,5.07,30.95,9,26.79,67,32.26,462 1 31    10
2026-07-18,芦屋,4,3,4469,土山卓也,39,福井,55,A2,5.89,42.11,0.00,0.00,46,24.53,48,20.29,5 133234    11
2026-07-18,芦屋,4,4,4000,松本博昭,49,広島,56,A2,6.11,44.70,5.52,26.09,30,36.67,56,35.85,312 3346    10
2026-07-18,芦屋,4,5,4569,中澤宏奈,38,東京,48,B1,4.85,32.35,3.60,20.00,27,25.81,52,26.92,4415344      9
2026-07-18,芦屋,4,6,5102,原田雄次,28,福岡,52,B1,4.81,27.85,4.85,30.19,36,27.54,38,37.50,561 413      8
2026-07-18,芦屋,5,1,4704,河野大,38,徳島,52,A1,6.55,47.33,6.87,56.67,16,16.67,27,41.07,442 1122    10
2026-07-18,芦屋,5,2,3805,高橋英之,52,東京,53,B1,5.29,34.78,7.11,60.00,47,36.67,63,32.69,235 421     11
2026-07-18,芦屋,5,3,5258,仲本舜,21,福岡,53,B1,4.39,24.05,4.09,25.58,3,46.77,70,33.33,526 3 21    12
2026-07-18,芦屋,5,4,3708,岡部貴司,52,岡山,59,B1,5.28,30.38,4.53,20.00,15,34.85,24,28.07,S 444 42
2026-07-18,芦屋,5,5,3993,永井聖美,47,東京,45,B1,5.60,35.96,0.00,0.00,34,29.51,29,30.19,333 663
2026-07-18,芦屋,5,6,4512,高野哲史,37,兵庫,53,A1,6.90,54.40,8.50,80.00,17,24.19,11,15.63,16115 21    10
2026-07-18,芦屋,6,1,5047,國分将太,32,東京,53,B1,5.68,33.33,7.14,57.14,28,28.57,49,42.62,535 211     12
2026-07-18,芦屋,6,2,4452,松尾祭,38,香川,53,A2,5.07,33.04,6.53,58.82,45,31.82,53,47.54,1 543664
2026-07-18,芦屋,6,3,3539,金子順一,58,山口,52,B1,4.45,24.00,3.21,7.14,38,29.51,58,34.00,6 424 33
2026-07-18,芦屋,6,4,3965,北中元樹,47,滋賀,56,A1,6.00,44.74,5.31,26.92,33,36.51,17,33.33,2 514532    11
2026-07-18,芦屋,6,5,4904,松本一毅,31,大阪,52,B1,5.26,33.62,5.07,27.59,26,18.52,22,37.04,213 566      1
2026-07-18,芦屋,6,6,4762,藤原啓史,36,岡山,50,A1,7.23,52.14,7.48,52.17,4,29.31,44,47.69,23232 12    11
2026-07-18,芦屋,7,1,4007,榮田将彦,47,山口,50,B1,4.53,23.08,4.32,22.73,31,38.10,60,30.91,4 132 26    12
2026-07-18,芦屋,7,2,3825,宮嵜隆太,53,福岡,61,B1,3.35,18.46,3.88,21.05,20,18.97,62,35.94,4 666 56
2026-07-18,芦屋,7,3,4615,板倉敦史,46,東京,53,B1,4.41,23.17,4.26,18.52,12,40.98,30,26.67,5 536 52
2026-07-18,芦屋,7,4,3551,藤田美代,54,福岡,45,B1,3.33,14.29,3.80,12.96,10,38.10,18,26.98,544 316      2
2026-07-18,芦屋,7,5,5344,谷口丞,23,滋賀,53,B1,5.05,29.55,2.13,0.00,2,33.96,20,30.00,124 243      2
