race_id,枠番,日付,場コード,会場,レース,登番,選手名,class_ord,class_gap,win_rate_national,winrate_rank_in_race,winrate_diff_top,motor_top2_rate,motor_rank_in_race,st_avg,st_rank_in_race,field_strength_std
012025080201,1,2025-08-02,01,桐生,1,4641,磯村匠,2,-1,4.2500,5,2.2000,30.4000,4,,,0.8330
012025080201,2,2025-08-02,01,桐生,1,4232,笠雅雄,2,-1,3.9800,6,2.4700,31.2000,3,,,0.8330
012025080201,3,2025-08-02,01,桐生,1,5234,塚越海斗,2,-1,5.1500,4,1.3000,28.1000,5,,,0.8330
012025080201,4,2025-08-02,01,桐生,1,3563,堤昇,2,-1,5.3100,3,1.1400,31.6700,2,,,0.8330
012025080201,5,2025-08-02,01,桐生,1,4710,福田宗平,3,0,6.4500,1,0.0000,39.0700,1,,,0.8330
012025080201,6,2025-08-02,01,桐生,1,3931,黒崎竜也,1,-2,5.6700,2,0.7800,27.4500,6,,,0.8330
012025080202,1,2025-08-02,01,桐生,2,4023,柴田友和,2,-1,4.4300,5,2.0800,29.1700,5,,,0.9414
012025080202,2,2025-08-02,01,桐生,2,4977,馬野耀,3,0,6.2700,2,0.2400,34.1800,3,,,0.9414
012025080202,3,2025-08-02,01,桐生,2,4203,小倉康典,2,-1,3.9400,6,2.5700,32.6400,4,,,0.9414
012025080202,4,2025-08-02,01,桐生,2,4581,吉村誠,3,0,6.5100,1,0.0000,27.1700,6,,,0.9414
012025080202,5,2025-08-02,01,桐生,2,4085,荻野裕介,1,-2,5.2800,3,1.2300,46.8300,1,,,0.9414
012025080202,6,2025-08-02,01,桐生,2,5183,中野孝二,2,-1,4.6800,4,1.8300,40.7100,2,,,0.9414
012025080203,1,2025-08-02,01,桐生,3,3977,山本兼士,2,-1,4.2300,5,1.8100,42.2800,1,,,0.8689
012025080203,2,2025-08-02,01,桐生,3,4902,山川雄大,2,-1,4.4100,4,1.6300,34.3100,2,,,0.8689
012025080203,3,2025-08-02,01,桐生,3,4233,亀山雅幸,3,0,6.0400,1,0.0000,28.9700,6,,,0.8689
012025080203,4,2025-08-02,01,桐生,3,5020,宮村勇哉,2,-1,4.5400,3,1.5000,29.7900,4,,,0.8689
012025080203,5,2025-08-02,01,桐生,3,4355,小川広大,2,-1,3.4100,6,2.6300,29.6300,5,,,0.8689
012025080203,6,2025-08-02,01,桐生,3,3303,渡辺豊,3,0,5.5600,2,0.4800,31.2000,3,,,0.8689
012025080204,1,2025-08-02,01,桐生,4,5007,近藤雄一,2,-2,4.1800,5,2.6000,31.2900,5,,,0.9876
012025080204,2,2025-08-02,01,桐生,4,3362,間嶋仁志,3,-1,5.1100,3,1.6700,33.1000,3,,,0.9876
012025080204,3,2025-08-02,01,桐生,4,4792,杉村賢也,2,-2,5.6300,2,1.1500,31.5200,4,,,0.9876
012025080204,4,2025-08-02,01,桐生,4,5028,原田才一,4,0,6.7800,1,0.0000,27.6400,6,,,0.9876
012025080204,5,2025-08-02,01,桐生,4,4273,佐藤旭,2,-2,4.7800,4,2.0000,36.7200,1,,,0.9876
