race_id,˜g”Ô,“o”Ô,p_win,strength,finish_rank
012025080201,1,4641,0.1790,0.640781,2
012025080201,2,4232,0.1019,0.364956,
012025080201,3,5234,0.1787,0.639788,5
012025080201,4,3563,0.1835,0.657044,1
012025080201,5,4710,0.2793,1.000000,4
012025080201,6,3931,0.0776,0.277972,3
012025080202,1,4023,0.1583,0.521168,1
012025080202,2,4977,0.3037,1.000000,5
012025080202,3,4203,0.0843,0.277460,3
012025080202,4,4581,0.2967,0.977224,2
012025080202,5,4085,0.1063,0.350139,4
012025080202,6,5183,0.0508,0.167143,6
012025080203,1,3977,0.2163,0.623897,2
012025080203,2,4902,0.1411,0.407026,1
012025080203,3,4233,0.3467,1.000000,4
012025080203,4,5020,0.1338,0.386079,3
012025080203,5,4355,0.0541,0.155967,5
012025080203,6,3303,0.1080,0.311659,6
012025080204,1,5007,0.1416,0.367311,4
012025080204,2,3362,0.1680,0.436017,6
012025080204,3,4792,0.1900,0.493118,3
012025080204,4,5028,0.3854,1.000000,1
012025080204,5,4273,0.0851,0.220904,5
012025080204,6,4836,0.0298,0.077354,2
012025080205,1,4487,0.1702,0.493380,1
012025080205,2,4066,0.3450,1.000000,3
012025080205,3,3563,0.1401,0.406268,6
012025080205,4,4093,0.0770,0.223278,4
012025080205,5,4428,0.1577,0.457177,2
012025080205,6,4561,0.1100,0.318735,5
012025080206,1,3995,0.5785,1.000000,3
012025080206,2,4895,0.1047,0.180890,4
012025080206,3,4641,0.0854,0.147693,5
012025080206,4,4113,0.0962,0.166213,1
012025080206,5,3627,0.1284,0.221958,2
012025080206,6,5419,0.0068,0.011763,6
012025080207,1,4710,0.3912,0.945053,1
012025080207,2,5020,0.0787,0.190163,4
012025080207,3,4939,0.4139,1.000000,6
012025080207,4,4203,0.0560,0.135288,2
012025080207,5,3722,0.0344,0.083069,5
012025080207,6,3910,0.0258,0.062446,3
012025080208,1,4977,0.3724,1.000000,1
012025080208,2,5007,0.0730,0.196051,4
012025080208,3,3482,0.1529,0.410485,3
012025080208,4,4902,0.0783,0.210378,6
012025080208,5,4532,0.2975,0.798790,2
012025080208,6,4232,0.0259,0.069591,5
012025080209,1,4273,0.1526,0.416434,6
012025080209,2,4085,0.1219,0.332730,5
012025080209,3,4428,0.2148,0.586191,1
012025080209,4,4852,0.3664,1.000000,3
012025080209,5,5234,0.0714,0.194774,2
012025080209,6,4808,0.0730,0.199384,4
012025080210,1,3362,0.2412,0.860596,1
012025080210,2,4233,0.2366,0.843960,2
012025080210,3,4895,0.1096,0.391137,6
012025080210,4,4561,0.2803,1.000000,4
012025080210,5,4023,0.0616,0.219929,3
012025080210,6,4058,0.0706,0.252054,5
012025080211,1,4066,0.3808,1.000000,4
012025080211,2,4702,0.2360,0.619805,2
012025080211,3,3977,0.0651,0.170882,5
012025080211,4,3627,0.1244,0.326707,1
012025080211,5,4581,0.1276,0.335218,3
012025080211,6,3629,0.0661,0.173643,6
012025080212,1,4532,0.3116,1.000000,2
012025080212,2,4939,0.1978,0.634740,3
012025080212,3,4184,0.1660,0.532624,1
012025080212,4,3995,0.1373,0.440694,6
012025080212,5,4364,0.1295,0.415705,5
012025080212,6,5028,0.0577,0.185084,4
012025080301,1,4113,0.3850,1.000000,3
012025080301,2,4093,0.0464,0.120449,6
012025080301,3,3722,0.0651,0.169116,2
012025080301,4,4428,0.3848,0.999628,4
012025080301,5,4808,0.1046,0.271656,1
012025080301,6,4355,0.0142,0.036811,5
012025080302,1,3482,0.4034,1.000000,1
012025080302,2,3563,0.1175,0.291374,3
012025080302,3,3627,0.1966,0.487330,2
012025080302,4,3362,0.1461,0.362321,6
012025080302,5,5419,0.0034,0.008500,4
012025080302,6,4532,0.1330,0.329613,5
012025080303,1,5183,0.2970,1.000000,6
012025080303,2,3303,0.1378,0.463749,5
012025080303,3,4561,0.2856,0.961307,1
012025080303,4,5234,0.1645,0.553809,3
012025080303,5,4487,0.0730,0.245747,2
012025080303,6,4792,0.0421,0.141842,4
012025080304,1,4836,0.1470,0.356097,6
012025080304,2,4184,0.4128,1.000000,1
012025080304,3,3910,0.0578,0.139991,5
012025080304,4,4233,0.2757,0.667909,2
012025080304,5,4895,0.0392,0.095014,3
012025080304,6,4581,0.0675,0.163410,4
012025080305,1,3931,0.3477,1.000000,1
012025080305,2,5028,0.3193,0.918299,2
012025080305,3,4085,0.0951,0.273410,4
012025080305,4,4355,0.0529,0.152238,5
012025080305,5,3629,0.0853,0.245367,6
012025080305,6,4939,0.0996,0.286397,3
012025080306,1,4364,0.8104,1.000000,1
012025080306,2,4203,0.0373,0.046023,3
012025080306,3,4902,0.0513,0.063307,4
012025080306,4,4273,0.0672,0.082924,2
012025080306,5,4641,0.0209,0.025765,6
012025080306,6,5020,0.0130,0.015991,5
