race_id,˜g”Ô,“o”Ô,p_win,strength,finish_rank
022025080801,1,3445,0.5054,1.000000,3
022025080801,2,3982,0.1348,0.266650,6
022025080801,3,5090,0.1609,0.318485,1
022025080801,4,3859,0.0598,0.118338,5
022025080801,5,4410,0.1088,0.215352,2
022025080801,6,3596,0.0303,0.059989,4
022025080802,1,4129,0.2837,0.821960,6
022025080802,2,4366,0.3451,1.000000,2
022025080802,3,5181,0.1289,0.373512,5
022025080802,4,3685,0.1137,0.329522,1
022025080802,5,4363,0.1177,0.340980,3
022025080802,6,5313,0.0109,0.031549,4
022025080803,1,5167,0.3273,1.000000,4
022025080803,2,3956,0.3110,0.950207,1
022025080803,3,4979,0.1145,0.349763,2
022025080803,4,4638,0.0742,0.226801,6
022025080803,5,5074,0.0539,0.164712,5
022025080803,6,4019,0.1190,0.363472,3
022025080804,1,3591,0.2077,0.809450,5
022025080804,2,4521,0.2567,1.000000,2
022025080804,3,3811,0.2459,0.958097,1
022025080804,4,4438,0.1097,0.427377,3
022025080804,5,4608,0.1591,0.620067,
022025080804,6,4332,0.0209,0.081307,4
022025080805,1,4314,0.6341,1.000000,1
022025080805,2,3462,0.0562,0.088658,3
022025080805,3,4766,0.0754,0.118861,6
022025080805,4,3966,0.1651,0.260392,4
022025080805,5,5098,0.0487,0.076842,2
022025080805,6,5206,0.0205,0.032304,5
022025080806,1,5303,0.3739,1.000000,1
022025080806,2,4789,0.1064,0.284500,2
022025080806,3,4207,0.3246,0.868104,6
022025080806,4,3596,0.0621,0.166217,4
022025080806,5,3717,0.1013,0.271040,5
022025080806,6,5181,0.0317,0.084848,3
022025080807,1,3898,0.8174,1.000000,1
022025080807,2,4979,0.0382,0.046795,5
022025080807,3,3583,0.0164,0.020052,6
022025080807,4,4342,0.0945,0.115580,2
022025080807,5,3445,0.0209,0.025564,3
022025080807,6,3550,0.0126,0.015413,4
022025080808,1,3156,0.2450,0.542772,3
022025080808,2,4236,0.4514,1.000000,2
022025080808,3,4638,0.0792,0.175547,1
022025080808,4,4560,0.1665,0.368858,5
022025080808,5,4103,0.0354,0.078390,6
022025080808,6,3982,0.0224,0.049569,4
022025080809,1,4410,0.3529,1.000000,2
022025080809,2,5132,0.2698,0.764419,1
022025080809,3,4608,0.1786,0.506119,3
022025080809,4,5167,0.0381,0.107893,4
022025080809,5,4467,0.1006,0.285024,6
022025080809,6,4366,0.0600,0.169888,5
022025080810,1,3956,0.6583,1.000000,3
022025080810,2,3685,0.0756,0.114823,5
